equipe,pontos_auto,pontos_tele,total_pecas,links,vitoria,auto_row_inferior,auto_row_meio,auto_row_topo,tele_row_inferior,tele_row_meio,tele_row_topo,cluster,score_geral
1156 | Under Control,3.411764705882353,14.411764705882353,5.235294117647059,1.7058823529411764,0.0,0.11764705882352941,0.7647058823529411,0.0,0.5294117647058824,2.8823529411764706,0.9411764705882353,1,10.311764705882354
1772 | The Brazilian Trail Blazers,2.8,7.4,3.5,1.0,0.0,0.0,0.7,0.0,1.0,1.8,0.0,1,6.02
1860 | Alphabots,0.75,11.916666666666666,3.0,1.5,0.0,0.08333333333333333,0.0,0.08333333333333333,0.75,0.0,2.0833333333333335,1,8.766666666666666
349175 | BrainMachine-FRC,2.7142857142857144,7.571428571428571,2.7142857142857144,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.8571428571428571,0,3.1714285714285713
5800 | Magic Island Robotics,4.384615384615385,8.846153846153847,3.4615384615384617,1.0769230769230769,0.0,0.07692307692307693,0.0,0.6923076923076923,0.7692307692307693,1.1538461538461537,0.7692307692307693,1,6.707692307692307
6404 | Brazilian Storm,0.46153846153846156,3.8461538461538463,1.3076923076923077,0.6923076923076923,0.0,0.0,0.0,0.07692307692307693,0.6153846153846154,0.23076923076923078,0.38461538461538464,0,3.8923076923076927
6902 | STRIKE,1.8333333333333333,4.0,1.8333333333333333,0.5833333333333334,0.0,0.5,0.08333333333333333,0.0,0.25,0.75,0.25,0,3.5000000000000004
7033 | Roosters,2.1,4.1,2.1,1.0,0.0,0.7,0.0,0.0,0.7,0.4,0.3,0,5.62
7459 | Taubatexas Robotics,1.3333333333333333,1.3333333333333333,0.8888888888888888,0.7777777777777778,0.0,0.4444444444444444,0.0,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0,4.155555555555556
7563 | SESI SENAI MEGAZORD,4.833333333333333,16.833333333333332,4.666666666666667,1.6666666666666667,0.0,0.0,0.08333333333333333,0.75,0.5,0.4166666666666667,2.9166666666666665,1,10.5
7565 | SESI SENAI ROBONATICOS,4.461538461538462,9.692307692307692,4.0,1.4615384615384615,0.0,0.0,0.07692307692307693,0.6923076923076923,0.7692307692307693,2.076923076923077,0.38461538461538464,1,8.723076923076922
7567 | SESI SENAI OCTOPUS,4.375,19.375,4.8125,1.875,0.0,0.0,0.0625,0.6875,0.1875,0.1875,3.6875,1,11.75
8066 | WOLF ARMY ROBOTICS,0.3333333333333333,3.5555555555555554,1.5555555555555556,0.5555555555555556,0.0,0.1111111111111111,0.0,0.0,1.0,0.3333333333333333,0.1111111111111111,0,3.1666666666666665
8276 | ETECHNOLOGY#8276,0.0,8.444444444444445,2.6666666666666665,0.4444444444444444,0.0,0.0,0.0,0.0,1.1111111111111112,0.7777777777777778,0.7777777777777778,0,3.066666666666667
8882 | Infinity BR,0.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,2.288888888888889
9045 | North Lions SESI/SENAI,1.75,3.0,1.9166666666666667,1.0833333333333333,0.0,0.5833333333333334,0.0,0.0,1.0,0.3333333333333333,0.0,0,5.891666666666666
9046 | SESI SENAI BBTECH,1.5,2.125,1.375,0.375,0.0,0.5,0.0,0.0,0.5,0.375,0.0,0,2.2375
9047 | SESI SENAI SC TechMaker Robotics,3.0,9.777777777777779,2.888888888888889,1.2777777777777777,0.0,0.0,0.0,0.5,0.3888888888888889,0.5,1.5,1,7.666666666666666
9048 | SESI/SENAI P0t1BOT (Potibot),2.6666666666666665,3.8333333333333335,2.1666666666666665,1.4166666666666667,0.0,0.0,0.6666666666666666,0.0,0.8333333333333334,0.5833333333333334,0.08333333333333333,0,7.733333333333334
9049 | SESI SENAI STEAMPUNK MONKEY FRC,1.125,3.625,1.5,0.625,0.0,0.125,0.0,0.125,0.875,0.0,0.375,0,3.6
9050 | Tucanus,0.2727272727272727,9.0,2.909090909090909,0.8181818181818182,0.0,0.09090909090909091,0.0,0.0,1.0909090909090908,0.9090909090909091,0.8181818181818182,0,5.018181818181818
9066 | Cavalo Vendado,2.25,7.125,2.75,0.75,0.0,0.125,0.0,0.3125,1.0625,0.625,0.625,0,4.6875
9085 | SESI SENAI MEGA HARPY,2.142857142857143,4.785714285714286,2.5,0.6428571428571429,0.0,0.14285714285714285,0.42857142857142855,0.0,1.0,0.9285714285714286,0.0,0,3.9071428571428575
9087 | steamachines,0.375,1.25,0.75,0.625,0.0,0.125,0.0,0.0,0.625,0.0,0.0,0,3.2875
9110 | Atomiic,0.0,6.5,2.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0,5.65
9162 | ALL MIGHT,1.8,2.5,1.6,0.1,0.0,0.6,0.0,0.0,0.5,0.5,0.0,0,0.9299999999999999
9163 | HYDRA,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.125
9164 | Tech Vikings,2.933333333333333,10.666666666666666,4.6,1.0666666666666667,0.0,0.4,0.3333333333333333,0.06666666666666667,1.5333333333333334,1.8666666666666667,0.4,1,6.693333333333333
9165 | Starbots FRC,0.8181818181818182,12.454545454545455,2.909090909090909,0.6363636363636364,0.0,0.09090909090909091,0.0,0.09090909090909091,0.2727272727272727,0.18181818181818182,2.272727272727273,0,4.509090909090909
9166 | TecRobot,0.75,5.125,2.125,0.75,0.0,0.25,0.0,0.0,1.0,0.625,0.25,0,4.3375
9168 | AGROBOT,1.2,9.8,3.4,1.0,0.0,0.4,0.0,0.0,1.2,0.8,1.0,1,6.1
9169 | AGROTECH,1.6,7.866666666666666,2.8,0.6,0.0,0.4,0.0,0.06666666666666667,0.7333333333333333,0.8,0.8,0,3.9466666666666668
9178 | Cyber One,0.6923076923076923,5.0,2.076923076923077,0.9230769230769231,0.0,0.23076923076923078,0.0,0.0,0.6923076923076923,1.0769230769230769,0.07692307692307693,0,5.184615384615385
9195 | Team ProdiXy,1.125,1.25,1.0,0.125,0.0,0.375,0.0,0.0,0.625,0.0,0.0,0,0.8625
9196 | Steel Claw Robotics,0.0,2.727272727272727,1.0909090909090908,0.7272727272727273,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.18181818181818182,0,3.909090909090909
9199 | SESI SENAI SHARKS,2.0,7.181818181818182,2.727272727272727,1.0909090909090908,0.0,0.5454545454545454,0.09090909090909091,0.0,0.7272727272727273,0.5454545454545454,0.8181818181818182,0,6.372727272727272
9200 | SESI SENAI STARDUST,5.470588235294118,13.941176470588236,3.8823529411764706,0.9411764705882353,0.0,0.058823529411764705,0.0,0.8823529411764706,0.058823529411764705,0.29411764705882354,2.588235294117647,1,6.647058823529412
9218 | Alpha Technology,1.7777777777777777,4.888888888888889,2.5555555555555554,1.1111111111111112,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,1.4444444444444444,0.6666666666666666,0.0,0,6.222222222222222
9219 | Nine Tails,1.25,15.416666666666666,4.5,1.1666666666666667,0.0,0.4166666666666667,0.0,0.0,0.6666666666666666,1.5,1.9166666666666667,1,7.5
9261 | Under Pressure,2.076923076923077,2.1538461538461537,1.5384615384615385,0.6153846153846154,0.0,0.6923076923076923,0.0,0.0,0.5384615384615384,0.23076923076923078,0.07692307692307693,0,3.5
9302 | Northstar,0.0,5.7,1.8,0.6,0.0,0.0,0.0,0.0,0.7,0.6,0.5,0,3.5700000000000003
9305 | Mont,2.4,11.7,4.0,0.6,0.0,0.8,0.0,0.0,0.9,0.8,1.5,1,4.41
